nagromadzenie G2_następstwo
temat G2_skarbnica
zaspokojenie G1_pragnienie
dudkiewicz SUBJ_pokonać
odpis AND_wyciąg
entuzjazm AND_znajomość
zakład G1_alpinizm
ręka przeciwny
odroczenie G1_realizacja
rysunek AND_górnik
małgorzata SUBJ_wzruszyć
nadaktywność SUBJ_redukować
nawyk G2_przekształcanie
zdobywanie żmudny
mieszkanie G1_taksówkarz
logik AND_logik
kieliszek AND_kamyczek
właściwość szkodliwy
przyznanie G2_świadek
muzyka niszowy
ceramik AND_kartka
kłamstwo G1_pan
marmur G2_kłoda
korzeń AND_pęd
troska G1_branża
wariant G1_staranie
czoło G2_marszczenie
traktorzystka AND_rybak
syn SUBJ_odwieźć
pacyfikowanie G2_próba
pułk G2_zaopatrzenie
kompetencja AND_nomenklatura
era G1_manipulacja
informatyk G2_część
argument SUBJ_wytrącić
zdenerwowanie SUBJ_udawać
ogienek SUBJ_począć
zarabianie G2_chęć
kościuszka SUBJ_przygotować
kanada AND_islandia
płyta AND_wycieczka
norma G1_pakt
kula G2_środowisko
blask G1_popołudnie
kupiec SUBJ_wbiegnąć
ostrożność SUBJ_służyć
szacunek SUBJ_rezerwować
nieposzanowanie G1_urząd
komunia SUBJ_przyjmować
samochód G2_tło
autobus G2_pasażer
zwiększanie G1_udział
wygadanie G2_chęć
niedopuszczalność G1_środek
możliwość AND_użyteczność
wiesiek G1_grosz
kierunek konkretny
bernat AND_lechowski
wiek SUBJ_dopasować
chemia SUBJ_polecać
harald G2_stosunek
hojność SUBJ_dawać
pośrednictwo G1_ajax
twierdza G2_mrok
etap drugi
zachowanie obcesowy
kupno G2_akt
import G2_wyłączenie
demokracja G2_stosowanie
politolog niemiecki
mieszkaniec G1_zasol
seria G2_kupno
słuchawka G2_moment
naturalność SUBJ_sławić
drzewo śródpolny
pociecha G2_magda
zapewnienie G2_pretekst
zmiana stały
dziewulski SUBJ_otrzymywać
krawędź G1_pojezierze
medalion SUBJ_skraść
wyposażenie G1_świątynia
michalski SUBJ_wysiąść
włodarczyk G2_walc
instytucja SUBJ_destabilizować
terapeuta G2_uwaga
doświadczenie AND_rozumowanie
basen AND_metrum
wykrywanie AND_dokumentowanie
imigrant G2_pokolenie
jan AND_kostrzewski
zasadzka SUBJ_wybrać
operacja G1_promień
płaszczyzna lodowy
zakres AND_suma
piasecki SUBJ_namawiać
przebieg G2_zsynchronizowanie
gród bogaty
kałużny AND_świerczewski
przyspieszanie G2_środek
barć SUBJ_poprzeć
mikroklimat zimny
kloszard G2_etat
kostium SUBJ_zrzucać
